mfl_code,facility_name,keph_level,facility_type,sub_county,ward,owner_type,beds,latitude,longitude,coord_source,assessed,on_kmhfr_register
24108,Boyani Dispensary-TC,Level 2,Dispensary,Rabai,Rabai/Kisurutini,Ministry of Health,2,,,,no,yes
24049,Magarini Dispendary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,,,,no,yes
23958,Zowerani Dispensary,Level 2,Dispensary,Kilifi North,Tezo,Ministry of Health,0,,,,no,yes
23925,Uwanja Wa ndege Dispensary,Level 2,Dispensary,Rabai,Rabai/Kisurutini,Ministry of Health,2,,,,no,yes
21547,Ndatani Dispensary (Kaloleni),Level 2,Dispensary,Kaloleni,Kayafungo,Ministry of Health,1,,,,no,yes
23666,Makomboani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,,,,no,yes
23653,Madzimbani Dispensary,Level 2,Dispensary,Kaloleni,Mariakani,Ministry of Health,1,,,,no,yes
23593,Mitsajeni Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,1,,,,no,yes
21546,Kasemeni dispensary,Level 2,Dispensary,Kaloleni,Kayafungo,Ministry of Health,2,,,,no,yes
23118,Shakahola Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,yes,yes
23121,Kamale Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,no,yes
21539,Konjora Dispensary,Level 2,Dispensary,Kilifi North,Kibarani,Ministry of Health,0,,,,no,yes
21545,Kachororoni Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,,,,no,yes
22766,Jimba Dispensary,Level 2,Dispensary,Kilifi North,Watamu,Ministry of Health,0,,,,no,yes
22481,Kilifi GK Prison VCT,Level 2,VCT,Kilifi North,Sokoni,Ministry of Health,0,,,,no,yes
21541,Mkondoni Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,,,,no,yes
21542,Sosobora Dispesary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,,,,no,yes
21787,Mulunguni Dispensary,Level 2,Dispensary,Magarini,Marafa,Ministry of Health,1,-2.9790797,39.7715075,Google Earth,no,yes
21257,Mkanyeni Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,no,yes
21213,Mjanaheri Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.0793,40.1409,GPS,no,yes
21119,Mwapula Dispensary,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,-3.6186,39.7034,GPS,yes,yes
20935,Kilifi County Beyond Zero Campaign Mobile Dispensary,Level 2,Dispensary,Kilifi North,Sokoni,Ministry of Health,0,,,,no,yes
20344,Karimboni Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.0959,39.9935,GPS,no,yes
20342,Malanga Dispensary (Vitengeni),Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,10,-3.2818,39.7904,GPS,no,yes
20309,Bore Singwaya Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.0526,39.9066,GPS,no,yes
20308,Chamari Dispensary,Level 2,Dispensary,Magarini,Marafa,Ministry of Health,0,-2.9027,39.8974,GPS,yes,yes
20307,Shomella Dispensary,Level 2,Dispensary,Magarini,Gongoni,Ministry of Health,0,-2.9802,40.0561,GPS,no,yes
20300,Mshongoleni Community Dispensary,Level 2,Dispensary,Malindi,Ganda,Ministry of Health,0,-3.2469,40.0273,GPS,no,yes
20036,Mmangani Dispensary,Level 2,Dispensary,Malindi,Kakuyuni,Ministry of Health,0,-3.11,39.5847,GPS,no,yes
19189,Kamkomani Dispensary,Level 2,Dispensary,Kaloleni,Mariakani,Ministry of Health,2,-3.8844,39.5189,GPS,no,yes
19024,Dungicha Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,-3.4724,39.6598,GPS,no,yes
18482,Mavueni Dispensary,Level 2,Dispensary,Kilifi North,Mnarani,Ministry of Health,0,-3.678,39.79902,GPS,yes,yes
18374,Ziani Dispensary,Level 2,Dispensary,Kilifi South,Chasimba,Ministry of Health,0,-3.75564,39.71749,GPS,no,yes
18309,Mtoroni Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-2.86116,40.15056,GPS,no,yes
18300,Gandini Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.4215,39.422,GPS,no,yes
17689,Viragoni Dispensary,Level 2,Dispensary,Kaloleni,Mwanamwinga,Ministry of Health,0,-3.7012,39.534,Google Earth,no,yes
17017,Kokotoni Dispensary,Level 2,Dispensary,Rabai,Rabai/Kisurutini,Ministry of Health,0,-3.92054,39.52444,Google Earth,no,yes
16189,Shangia Dispensary,Level 2,Dispensary,Kaloleni,Mariakani,Ministry of Health,0,-3.8028,39.4083,GPS,yes,yes
16191,Chalani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,-3.754814,39.630511,Google Earth,no,yes
16190,Vishakani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,-3.83063,39.62322,GPS,yes,yes
11297,Dagamra Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.1824,39.9364,GPS,no,yes
11498,Kombeni Dispensary,Level 2,Dispensary,Rabai,Ruruma,Ministry of Health,0,-3.9128,39.5871,GPS,yes,yes
11266,Bwagamoyo Dispensary,Level 2,Dispensary,Rabai,Mwawesa,Ministry of Health,0,-3.9202,39.6445,GPS,yes,yes
11666,Mtepeni Dispensary,Level 2,Dispensary,Kilifi South,Mtepeni,Ministry of Health,0,-3.9002,39.7316,GPS,no,yes
11445,Kadaina Community Dispensary,Level 2,Dispensary,Kilifi North,Matsangoni,Ministry of Health,0,-3.379185,39.930862,Google Earth,yes,yes
11761,Sabaki Dispensary,Level 2,Dispensary,Magarini,Sabaki,Ministry of Health,0,-3.1637,40.0829,GPS,yes,yes
11305,Dida Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,-3.4288,39.8054,GPS,no,yes
11618,Mirihini Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,-3.43813,39.59241,GPS,no,yes
11404,Gotani Dispensary,Level 2,Dispensary,Kaloleni,Kayafungo,Ministry of Health,0,-3.7865,39.5406,GPS,yes,yes
11452,Kakoneni Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,-3.1644,39.8659,GPS,no,yes
11667,Mtondia Dispensary,Level 2,Dispensary,Kilifi North,Tezo,Ministry of Health,0,-3.5712,39.8675,GPS,yes,yes
11625,Mizijini Dispensary,Level 2,Dispensary,Magarini,Marafa,Ministry of Health,0,-2.96167,40.00046,GPS,no,yes
11379,Fundi Issa Dispensary,Level 2,Dispensary,Magarini,Gongoni,Ministry of Health,0,-2.92982,40.09493,GPS,no,yes
11359,Dzikunze Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,8,-3.2956,39.7508,GPS,no,yes
11244,Baolala Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,-3.17962,39.78562,GPS,yes,yes
11659,Msumarini Dispensary,Level 2,Dispensary,Kilifi South,Mtepeni,Ministry of Health,0,-3.87227,39.79793,GPS,yes,yes
11380,Gahaleni Dispensary,Level 2,Dispensary,Malindi,Ganda,Ministry of Health,0,-3.2687,40.0937,GPS,no,yes
11255,Bomani Dispensary,Level 2,Dispensary,Kilifi South,Junju,Ministry of Health,0,-3.8843,39.7494,GPS,yes,yes
11384,Garashi Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.13088,39.8913,GPS,yes,yes
11836,Takaungu Dispensary,Level 2,Dispensary,Kilifi North,Mnarani,Ministry of Health,0,-3.6828,39.8592,GPS,yes,yes
11617,Rimarapera Dispensary,Level 2,Dispensary,Ganze,Bamba,Ministry of Health,0,-3.6256,39.3965,GPS,no,yes
11653,Muryachakwe Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,-3.2885,39.5768,GPS,yes,yes
11493,Kiwandani Dispensary,Level 2,Dispensary,Kilifi North,Sokoni,Ministry of Health,0,-3.5717037,39.8719258,Google Earth,no,yes
11532,Madamani Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,-3.3938,39.7484,GPS,no,yes
11453,Kakuyuni Dispensary (Malindi),Level 2,Dispensary,Malindi,Kakuyuni,Ministry of Health,1,-3.22034,40.0019,GPS,no,yes
11713,Ngerenya Dispensary,Level 2,Dispensary,Kilifi North,Tezo,Ministry of Health,0,-3.5135,39.8623,GPS,no,yes
11805,Sosoni Dispensary,Level 2,Dispensary,Magarini,Marafa,Ministry of Health,0,-3.028,39.8229,GPS,no,yes
11636,Mnarani Dispensary,Level 2,Dispensary,Kilifi North,Mnarani,Ministry of Health,0,-3.6412,39.8459,GPS,no,yes
11859,Tsangatsini Dispensary,Level 2,Dispensary,Kaloleni,Kayafungo,Ministry of Health,0,-3.7144,39.4498,GPS,yes,yes
11547,Makanzani Dispensary,Level 2,Dispensary,Rabai,Ruruma,Ministry of Health,0,-3.8655,39.6068,GPS,no,yes
11802,Sokoke Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,-3.5215,39.767,GPS,no,yes
11756,Ribe Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,0,-3.8854,39.6315,GPS,yes,yes
11481,Kinarani Dispensary,Level 2,Dispensary,Kaloleni,Mwanamwinga,Ministry of Health,0,-3.7296,39.5792,GPS,no,yes
11559,Mambrui Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,4,-3.1184,40.1569,GPS,no,yes
11430,Jaribuni Dispensary,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,-3.6326,39.7427,GPS,no,yes
11609,Midoina Dispensary,Level 2,Dispensary,Ganze,Bamba,Ministry of Health,0,-3.5017,39.3872,GPS,no,yes
11444,Junju Dispensary,Level 2,Dispensary,Kilifi South,Junju,Ministry of Health,0,-3.8299,39.7611,GPS,no,yes
11895,Watamu Dispensary,Level 2,Dispensary,Kilifi North,Watamu,Ministry of Health,0,-3.3501,40.0123,GPS,yes,yes
11752,Rainbow Medical Burangi,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.2619,40.0897,GPS,no,yes
11738,Pingilikani Dispensary,Level 2,Dispensary,Kilifi South,Mwarakaya,Ministry of Health,0,-3.7744,39.7735,GPS,no,yes
11447,Kadzinuni Dispensary,Level 2,Dispensary,Kilifi North,Mnarani,Ministry of Health,0,-3.74511,39.81237,GPS,no,yes
11382,Ganda Dispensary,Level 2,Dispensary,Malindi,Ganda,Ministry of Health,0,-3.2181,40.0941,GPS,no,yes
11433,Jilore Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,-3.1892,39.9058,GPS,no,yes
11851,Timboni Community Dispensary,Level 2,Dispensary,Kilifi North,Dabaso,Ministry of Health,0,-3.1843,39.7403,GPS,no,yes
11601,Mgamboni Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,-3.8452,39.6634,GPS,no,yes
11610,Mijomboni Dispensary,Level 2,Dispensary,Kilifi North,Dabaso,Ministry of Health,2,-3.2621,40.0016,GPS,no,yes
11198,Adu Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-2.8398,39.9799,GPS,no,yes
11276,Chakama Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-3.122,39.6335,GPS,yes,yes
16192,Kambe Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,0,-3.8487,39.6324,GPS,no,yes
11689,Mwangatini Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.1434,40.0495,GPS,no,yes
11758,Roka Maweni Dispensary,Level 2,Dispensary,Kilifi North,Matsangoni,Ministry of Health,0,-3.4436,39.92867,GPS,no,yes
11730,Palakumi Dispensary,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,-3.6213,39.6059,GPS,yes,yes
11578,Matolani Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-3.10202,39.66969,GPS,no,yes
11394,GK Prison Dispensary (Magarini),Level 2,Dispensary,Magarini,Sabaki,Ministry of Health,0,,,,no,yes
11534,Madunguni Dispensary,Level 2,Dispensary,Malindi,Kakuyuni,Ministry of Health,0,-3.1837,39.9748,GPS,yes,yes
11256,Bombi Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-3.07925,39.47874,Google Earth,no,yes
11571,Marikebuni Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.0903,40.1121,GPS,no,yes
11517,Lenga Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,0,-3.8669,39.6618,GPS,no,yes
11248,Baricho Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.1037,39.7846,GPS,no,yes
11293,Cowdray Dispensary,Level 2,Dispensary,Kilifi North,Watamu,Ministry of Health,0,-3.2886,40.0766,GPS,no,yes
17662,Pwani University College Clinic,Level 2,Dispensary,Kilifi North,Kibarani,Ministry of Health,0,,,,no,yes
22679,Mtwapa drop in and resource centre,Level 2,VCT,Kilifi South,Shimo La Tewa,Ministry of Health,0,,,,no,yes
23924,Chilodi CrossFit Health Centre,Level 3,Basic Health Centre,Rabai,Ruruma,Ministry of Health,2,,,,yes,yes
21544,Jila Model Health Centre,Level 3,Basic Health Centre,Ganze,Ganze,Ministry of Health,0,,,,yes,yes
11563,Marereni Dispensary,Level 3,Basic Health Centre,Magarini,Adu,Ministry of Health,6,-2.863,40.1446,GPS,no,yes
11562,Marafa Health Centre,Level 3,Basic Health Centre,Magarini,Marafa,Ministry of Health,17,-3.0283,39.9597,GPS,yes,yes
11497,Kizingo Health Centre,Level 3,Basic Health Centre,Kilifi South,Mwarakaya,Ministry of Health,0,-3.7821,39.677,GPS,no,yes
11715,Ngomeni Health Centre (Magarini),Level 3,Basic Health Centre,Magarini,Gongoni,Ministry of Health,0,,,,no,yes
11401,Gongoni Health Centre,Level 3,Basic Health Centre,Magarini,Gongoni,Ministry of Health,10,-3.0361,40.1334,GPS,yes,yes
11748,Rabai Rural Health Demonstration Centre,Level 3,Basic Health Centre,Rabai,Rabai/Kisurutini,Ministry of Health,12,-3.939,39.5664,GPS,yes,yes
11387,Gede Health Centre,Level 3,Basic Health Centre,Kilifi North,Dabaso,Ministry of Health,14,-3.2847,40.0507,GPS,yes,yes
11751,Rainbow Community Care,Level 3,Basic Health Centre,Magarini,Sabaki,Ministry of Health,8,-3.18099,40.11512,GPS,no,yes
11282,Chasimba Health Centre,Level 3,Basic Health Centre,Kilifi South,Chasimba,Ministry of Health,10,-3.7349,39.7,GPS,yes,yes
11383,Ganze Health Centre,Level 3,Basic Health Centre,Ganze,Ganze,Ministry of Health,10,-3.5424,39.672,GPS,no,yes
11580,Matsangoni Model Health Centre,Level 3,Basic Health Centre,Kilifi North,Matsangoni,Ministry of Health,6,-3.3904,39.9286,GPS,yes,yes
11677,Muyeye Health Centre (Municipal),Level 3,Basic Health Centre,Malindi,Shella,Ministry of Health,6,-3.2327,40.1149,GPS,yes,yes
11672,Mtwapa Health Centre,Level 3,Basic Health Centre,Kilifi South,Shimo La Tewa,Ministry of Health,0,-3.9179,39.7382,GPS,no,yes
11881,Vipingo Rural Demonstration Health Centre,Level 3,Basic Health Centre,Kilifi South,Junju,Ministry of Health,17,-3.8193,39.8094,GPS,yes,yes
11883,Vitengeni Health Centre,Level 3,Basic Health Centre,Ganze,Sokoke,Ministry of Health,5,-3.3591,39.708,GPS,yes,yes
21474,Kemri Mtwapa,Level 3,Medical Center,Kilifi South,Shimo La Tewa,Ministry of Health,3,,,,no,yes
11237,Bamba Sub-County Hospital,Level 4,Primary care hospitals,Ganze,Bamba,Ministry of Health,12,-3.5454,39.5237,GPS,yes,yes
11566,Mariakani District Hospital,Level 4,Primary care hospitals,Kaloleni,Mariakani,Ministry of Health,72,-3.8567,39.4939,GPS,yes,yes
11555,Malindi District Hospital,Level 4,Primary care hospitals,Malindi,Shella,Ministry of Health,183,-3.2165,40.1182,GPS,yes,yes
11474,Kilifi County Hospital,Level 4,Primary care hospitals,Kilifi North,Sokoni,Ministry of Health,172,-3.63205,39.85722,Google Earth,yes,yes
11432,Jibana Sub District Hospital,Level 4,Primary care hospitals,Kaloleni,Kaloleni,Ministry of Health,20,-3.8311,39.6865,GPS,yes,yes
,Barani Dispensary,Level 2,,Kilifi South,,Ministry of Health,,-3.9249356,39.7693358,county list,no,no
