mfl_code,facility_name,keph_level,facility_type,sub_county,ward,owner_type,beds,latitude,longitude,coord_source,matched_name_2019,match_score,status
11571,Marikebuni Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.0903,40.1121,GPS,Marikebuni Dispensary,1.0,matched
11517,Lenga Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,0,-3.8669,39.6618,GPS,Lenga Dispensary,1.0,matched
11248,Baricho Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.1037,39.7846,GPS,Baricho Dispensary ,1.0,matched
11293,Cowdray Dispensary,Level 2,Dispensary,Kilifi North,Watamu,Ministry of Health,0,-3.2886,40.0766,GPS,Cowdray Dispensary,1.0,matched
17662,Pwani University College Clinic,Level 2,Dispensary,Kilifi North,Kibarani,Ministry of Health,0,,,,,,no match in 2019 inventory
22679,Mtwapa drop in and resource centre,Level 2,VCT,Kilifi South,Shimo La Tewa,Ministry of Health,0,,,,,,no match in 2019 inventory
11251,Tosha Medical Clinic,Level 2,Medical Center,Malindi,Malindi Town,Faith Based Organization,0,,,,,,candidate rejected (low confidence)
25494,Mewa Drop In Centre Mtwapa,Level 2,Medical Clinic,Kilifi South,Shimo La Tewa,Faith Based Organization,0,,,,,,no match in 2019 inventory
24041,Arabuko Forest Dispensary,Level 2,Dispensary,Kilifi North,Matsangoni,Faith Based Organization,0,,,,,,"matched, no coordinate in source"
20320,Africa Muslim Agency Dispensary (Kilifi),Level 2,Dispensary,Kilifi North,Kibarani,Faith Based Organization,0,-3.2337,39.557,GPS,African Muslim Agency Dispensary ,0.792,matched
23924,Chilodi CrossFit Health Centre,Level 3,Basic Health Centre,Rabai,Ruruma,Ministry of Health,2,,,,,,no match in 2019 inventory
21544,Jila Model Health Centre,Level 3,Basic Health Centre,Ganze,Ganze,Ministry of Health,0,,,,,,no match in 2019 inventory
11563,Marereni Dispensary,Level 3,Basic Health Centre,Magarini,Adu,Ministry of Health,6,-2.863,40.1446,GPS,Marereni Dispensary,1.0,matched
11562,Marafa Health Centre,Level 3,Basic Health Centre,Magarini,Marafa,Ministry of Health,17,-3.0283,39.9597,GPS,Marafa Health Centre,1.0,matched
11497,Kizingo Health Centre,Level 3,Basic Health Centre,Kilifi South,Mwarakaya,Ministry of Health,0,-3.7821,39.677,GPS,Kizingo Health Centre,1.0,matched
11715,Ngomeni Health Centre (Magarini),Level 3,Basic Health Centre,Magarini,Gongoni,Ministry of Health,0,,,,,,no match in 2019 inventory
11401,Gongoni Health Centre,Level 3,Basic Health Centre,Magarini,Gongoni,Ministry of Health,10,-3.0361,40.1334,GPS,Gongoni Health Centre,1.0,matched
11748,Rabai Rural Health Demonstration Centre,Level 3,Basic Health Centre,Rabai,Rabai/Kisurutini,Ministry of Health,12,-3.939,39.5664,GPS,Rabai Rural Health Demonstration Centre,1.0,matched
11387,Gede Health Centre,Level 3,Basic Health Centre,Kilifi North,Dabaso,Ministry of Health,14,-3.2847,40.0507,GPS,Gede Health Centre,1.0,matched
11751,Rainbow Community Care,Level 3,Basic Health Centre,Magarini,Sabaki,Ministry of Health,8,-3.18099,40.11512,GPS,Rainbow Community Care Clinic,1.0,matched
11282,Chasimba Health Centre,Level 3,Basic Health Centre,Kilifi South,Chasimba,Ministry of Health,10,-3.7349,39.7,GPS,Chasimba Health Centre,1.0,matched
11383,Ganze Health Centre,Level 3,Basic Health Centre,Ganze,Ganze,Ministry of Health,10,-3.5424,39.672,GPS,Ganze Health Centre,1.0,matched
11580,Matsangoni Model Health Centre,Level 3,Basic Health Centre,Kilifi North,Matsangoni,Ministry of Health,6,-3.3904,39.9286,GPS,Matsangoni Model Health Centre,1.0,matched
11677,Muyeye Health Centre (Municipal),Level 3,Basic Health Centre,Malindi,Shella,Ministry of Health,6,-3.2327,40.1149,GPS,Municipal Health Centre,0.684,matched
11672,Mtwapa Health Centre,Level 3,Basic Health Centre,Kilifi South,Shimo La Tewa,Ministry of Health,0,-3.9179,39.7382,GPS,Mtwapa Health Centre,1.0,matched
11881,Vipingo Rural Demonstration Health Centre,Level 3,Basic Health Centre,Kilifi South,Junju,Ministry of Health,17,-3.8193,39.8094,GPS,Vipingo Rural Demonstration Health Centre,1.0,matched
11883,Vitengeni Health Centre,Level 3,Basic Health Centre,Ganze,Sokoke,Ministry of Health,5,-3.3591,39.708,GPS,Vitengeni Health Centre,1.0,matched
21474,Kemri Mtwapa,Level 3,Medical Center,Kilifi South,Shimo La Tewa,Ministry of Health,3,,,,,,candidate rejected (low confidence)
11237,Bamba Sub-County Hospital,Level 4,Primary care hospitals,Ganze,Bamba,Ministry of Health,12,-3.5454,39.5237,GPS,Bamba Sub-District Hospital,1.0,matched
11566,Mariakani District Hospital,Level 4,Primary care hospitals,Kaloleni,Mariakani,Ministry of Health,72,-3.8567,39.4939,GPS,Mariakani District Hospital,1.0,matched
11555,Malindi District Hospital,Level 4,Primary care hospitals,Malindi,Shella,Ministry of Health,183,-3.2165,40.1182,GPS,Malindi District Hospital,1.0,matched
11474,Kilifi County Hospital,Level 4,Primary care hospitals,Kilifi North,Sokoni,Ministry of Health,172,-3.63205,39.85722,Google Earth,Kilifi District Hospital,1.0,matched
11432,Jibana Sub District Hospital,Level 4,Primary care hospitals,Kaloleni,Kaloleni,Ministry of Health,20,-3.8311,39.6865,GPS,Jibana Sub District Hospital,1.0,matched
11843,Tawfiq Muslim Hospital,Level 4,Primary care hospitals,Malindi,Malindi Town,Faith Based Organization,65,-3.2209,40.1127,GPS,Tawfiq Muslim Hospital,1.0,matched
