name,code,keph,sub,lat,lon,pop,poorest,poor40,heat,flood,heat_poor,flood_poor,far,rwi,hot_days,rx5,river,km,max_km,assessed,risk,V
Sabaki Dispensary,11761,Level 2,Magarini,-3.1637,40.0829,6311,0,1262,0,0,0,0,0,-0.31,0.3,104.3,3.8,2.8,5.5,False,,
Ganda Dispensary,11382,Level 2,Malindi,-3.2181,40.0941,6311,0,0,0,0,0,0,0,0.162,0.1,104.7,3.1,2.5,3.9,False,,
Mijomboni Dispensary,11610,Level 2,Kilifi North,-3.2621,40.0016,6311,0,1262,0,0,0,0,0,-0.043,0.5,101.9,2.9,3.3,6.9,False,,
Rainbow Community Care,11751,Level 3,Magarini,-3.18099,40.11512,6311,0,0,0,0,0,0,0,0.406,0.1,104.3,4.0,2.4,3.8,False,,
Mjanaheri Dispensary,21213,Level 2,Magarini,-3.0793,40.1409,5049,0,1262,0,0,0,0,0,0.121,0.1,102.7,4.0,1.8,2.3,False,,
Mambrui Dispensary,11559,Level 2,Magarini,-3.1184,40.1569,5049,0,1262,0,0,0,0,0,-0.15,0.2,103.7,4.0,2.1,2.9,False,,
Jilore Dispensary,11433,Level 2,Malindi,-3.1892,39.9058,5049,1262,1262,0,0,0,0,0,-0.237,9.6,88.2,49.1,1.8,2.4,False,,
Cowdray Dispensary,11293,Level 2,Kilifi North,-3.2886,40.0766,5049,0,3787,0,0,0,0,0,-0.488,0.0,105.9,2.9,1.8,2.3,False,,
Gede Health Centre,11387,Level 3,Kilifi North,-3.2847,40.0507,5049,1262,1262,0,0,0,0,0,-0.139,0.0,104.6,2.9,2.5,3.8,True,36.7,3.8
Kokotoni Dispensary,17017,Level 2,Rabai,-3.92054,39.52444,4931,0,0,0,4931,0,0,0,0.837,3.5,105.0,187.1,2.3,2.8,False,,
Dagamra Dispensary,11297,Level 2,Magarini,-3.1824,39.9364,3787,0,1262,0,0,0,0,0,-0.337,6.5,93.8,33.7,2.0,3.4,False,,
Rainbow Medical Burangi,11752,Level 2,Magarini,-3.2619,40.0897,3787,0,0,0,0,0,0,0,0.382,0.1,106.4,2.9,2.1,3.6,False,,
Chakama Dispensary,11276,Level 2,Magarini,-3.122,39.6335,3735,0,1236,3735,1262,1236,0,0,-0.375,34.7,81.8,55.8,3.3,7.1,False,,
Kilifi County Hospital,11474,Level 4,Kilifi North,-3.63205,39.85722,3374,0,0,0,0,0,0,0,1.13,0.0,100.4,0.8,2.5,2.6,True,31.4,3.15
Gahaleni Dispensary,11380,Level 2,Malindi,-3.2687,40.0937,2524,0,0,0,0,0,0,0,0.476,0.1,105.3,2.9,2.3,2.5,False,,
Kambe Dispensary,16192,Level 2,Rabai,-3.8487,39.6324,2466,0,0,0,0,0,0,0,0.545,1.8,100.4,12.4,0.7,0.7,False,,
Muyeye Health Centre (Municipal),11677,Level 3,Malindi,-3.2327,40.1149,1262,0,0,0,0,0,0,0,0.878,0.1,104.9,2.9,0.8,0.8,False,,
Tawfiq Muslim Hospital,11843,Level 4,Malindi,-3.2209,40.1127,1262,0,0,0,0,0,0,0,1.557,0.0,104.5,2.9,0.4,0.4,False,,
Africa Muslim Agency Dispensary (Kilifi),20320,Level 2,Kilifi North,-3.2337,39.557,666,666,666,666,666,666,666,0,-0.639,29.9,83.2,125.0,3.1,3.1,False,,
